title,category,dist,lat,lng,rating,reviewsCount,price
Aqua-Tots Swim Schools Al Malqa,Swimming school,"RJ2F+HG Al Malqa, Riyadh Saudi Arabia",24.8014533,46.6238297,4.3,615,
Middle East International School,School,"QM77+R4 Al Muruj, Riyadh Saudi Arabia",24.7645371,46.6627548,,0,
مركز بناء لرعاية الموهوبات فرع الشمال,School,"QPRM+GJ Ghirnatah, Riyadh Saudi Arabia",24.7913637,46.7340497,4.3,3,
12 Cups,Cafe,"QJ27+2H Hittin, Riyadh Saudi Arabia",24.7500046,46.6139904,3.9,1470,$$
Alshamelah International School,School,"JMCM+P7 Al Badi'ah, Riyadh Saudi Arabia",24.6217957,46.6832242,2.8,78,
مدارس الأرقم الأهلية - بنات,School,"QPPQ+G8 Ghirnatah, Riyadh Saudi Arabia",24.78629,46.7383127,3.7,82,
Qimam El Hayat International School,School,"JPR4+P7 Al Futah, Riyadh Saudi Arabia",24.6417476,46.7057425,3.8,64,
Mug Coffee & Roastery,Cafe,"PJGV+MM Al Mohammadiyyah, Riyadh Saudi Arabia",24.7267074,46.6441943,3.9,251,
منتدى الدكتور عبدالعزيز العمري,School,"QPW9+3P Al Falah, Riyadh Saudi Arabia",24.7952414,46.7192811,5,5,
Bright Blossom School,Private educational institution,"PJMR+RQ Al Mohammadiyyah, Riyadh Saudi Arabia",24.7345425,46.6419977,4.4,17,
Crescent International School,School,"HQMG+XW Al Aziziyah, Riyadh Saudi Arabia",24.5849903,46.7773544,4.7,9,
صحيفة مرآة الجامعة,School,"RP76+H4 Imam Muhammad Ibn Saud Islamic University, Riyadh Saudi Arabia",24.8138806,46.7102656,5,1,
Rainbow International School KG section,School,"MMWR+6H Al Olaya, Riyadh Saudi Arabia",24.695614,46.6914862,4,48,
JSIS Int. School,School,"MRP4+R7 Al Fayha, Riyadh Saudi Arabia",24.6871591,46.8056923,3.4,45,
Artal Preparatory School مدرسة أرتال,School,"PM2F+74 Al Olaya, Riyadh Saudi Arabia",24.7007026,46.6728439,4.1,41,
Trbiyah namouthajiyah Schools,School,"PQ3V+3X Ar Rawabi, Riyadh Saudi Arabia",24.702701,46.794969,3.7,757,
Misk Schools,School,"PJ95+38 Al Khuzama, Riyadh Saudi Arabia",24.717562,46.6082542,3.4,131,
Future Window International school Alaqiq,School,"QJJ9+68 Al Aqiq, Riyadh Saudi Arabia",24.7805625,46.6183125,2.8,36,
Unicq fit,Elementary school,"QPV5+5C Al Falah, Riyadh Saudi Arabia",24.792998,46.708552,3.8,6,
UIISR,School,"PQQQ+C7 Al Andalus, Riyadh Saudi Arabia",24.7385729,46.7881737,3.9,15,
Al Tarbiyah Al Islamiyah Schools,Private educational institution,"PM56+QG Ar Rahmaniyyah, Riyadh Saudi Arabia",24.7094507,46.6612057,3.7,175,
Al Alameen International Schools - (British Islamic Schools),School,"MPPG+C7 Az Zahra, Riyadh Saudi Arabia",24.686122,46.7256424,5,12,
College of Sciences,School,,24.8172838,46.7081786,2.6,8,
Plage center for the memorization of the Koran,Charter school,"QPXW+9H Ghirnatah, Riyadh Saudi Arabia",24.7984146,46.7464694,4.5,8,
Growing Minds Academy Riyadh,Preschool,"QQQ3+VQ Ghirnatah, Riyadh Saudi Arabia",24.7897044,46.7543885,4,1,
"Modern Global Intl School, Digital City مدارس جلوبال العالمية الحديثة - المدينة الرقمية",School,"PJVQ+CH An Nakheel, Riyadh Saudi Arabia",24.7436144,46.6388963,5,1,
Studio Cafe,Cafe,"PP3W+H8 Ar Rabwah, Riyadh Saudi Arabia",24.7039619,46.7458079,3.7,1357,$$
Hassan,School,"QQW2+RG Ghirnatah, Riyadh Saudi Arabia",24.7970498,46.7513004,,0,
Ais Kg Building,School,"PP46+PC As Sulimaniyah, Riyadh Saudi Arabia",24.7067697,46.7110365,3.7,15,
معهد خبراء المال,School,"QPXQ+96 Ghirnatah, Riyadh Saudi Arabia",24.7984435,46.7381137,,0,
Riyadh Schools Theater,School,,24.6638655,46.6911905,,0,
ثانوية ابن النفيس,Boys' high school,"RQ9C+CQ Al Munsiyah, Riyadh Saudi Arabia",24.8185509,46.7719789,3.3,48,
Alshamela schools,Preschool,"QM2G+23 King Fahd, Riyadh Saudi Arabia",24.7500001,46.6750595,3.8,28,
Al-Tarbiyah Private School,School,,24.7455987,46.652518,3.4,143,
Reema international school,School,"PR92+J6 Al Manar, Riyadh Saudi Arabia",24.7191925,46.8006971,4.1,54,
قاعة الشيخ محمد بن إبراهيم آل الشيخ,School,"RP86+Q4 Imam Muhammad Ibn Saud Islamic University, Riyadh Saudi Arabia",24.8169813,46.7103585,2.8,9,
Najd National School,School,"PMG8+3V Al Wurud, Riyadh Saudi Arabia",24.7252022,46.6672024,3.5,228,
College,School,,24.8131161,46.708089,,0,
Al Rissalah International Schools,School,"PM4R+XH As Sulimaniyah, Riyadh Saudi Arabia",24.7074791,46.6914984,3.1,60,
Ghana International School - Riyadh,Primary school,"MPV4+C5 As Sulimaniyah, Riyadh Saudi Arabia",24.6936319,46.7052701,4.2,21,
Riyadh Schools American Diploma International thot pot,Private educational institution,"MM6V+96 An Namudhajiyah, Riyadh Saudi Arabia",24.6609983,46.6930193,3.8,21,
Main Admission Building,School,,24.8449836,46.7255858,,0,
Palm Crest International School,International school,"MPX5+65 As Sulimaniyah, Riyadh Saudi Arabia",24.6980747,46.7079985,4,20,
Maarif Education and Training Company,Educational institution,"QPPG+VX Ghirnatah, Riyadh Saudi Arabia",24.7872061,46.7274388,4.3,13,
حضانة قادة المستقبل,Waldorf kindergarten,"RP5R+63 Qurtubah, Riyadh Saudi Arabia",24.8080691,46.7402494,5,1,
مدارس النهضة العالمية (إبتدائي - متوسط) ‎Al-Nahda International School,International school,"PQM5+XX Ar Rawdah, Riyadh Saudi Arabia",24.735079,46.7597743,3.7,59,
مدرسة الهمم النسائية لتحفيظ القرءان,School,"QPVQ+W2 Ghirnatah, Riyadh Saudi Arabia",24.7948377,46.7376037,3.3,11,
Alkhafeef,Fast food restaurant,"RP9J+4Q Qurtubah, Riyadh Saudi Arabia",24.8178391,46.7319221,3.1,58,$$
Olayya Private School,Private educational institution,"PMRP+G3 Al Mursalat, Riyadh Saudi Arabia",24.7413122,46.6851725,3.3,106,
EC Riyadh English Academy - مركز اي سي للغة الانجليزية,School,,24.7136786,46.6725206,3,9,
Five Guys,Hamburger restaurant,"PP43+23 As Sulimaniyah, Riyadh Saudi Arabia",24.7049102,46.7027958,4,2208,
